Common website translations - a resource by and from !frappant and contributing translators - https://github.com/frappant/common-website-translations,,,,
The ZIP file could not be created. Please contact the system administrator.,Die ZIP-Datei konnte nicht kreiert werden. Bitte kontaktieren Sie den System-Administrator.,Le fichier ZIP n’a pas pu être créé. Veuillez contacter l’administrateur système.,Non è stato possibile creare il file ZIP. Contattare l’amministratore di sistema.,
Invalid source page. Please contact the system administrator.,Ungültige Quellenseite. Bitte kontaktieren Sie den Systemadministrator.,Page source non valide. Veuillez contacter l’administrateur système.,Pagina di origine non valida. Contattare l’amministratore di sistema.,
File package preparation in progress.,Vorbereitung des Datei-Pakets im Gange.,Paquet de fichiers en cours de préparation.,Preparazione pacchetto file in corso.,
A package of all files which are new to you is now available. Please click on the icon to download it.,"Ein Paket der für Sie neuen Dateien ist nun verfügbar. Klicken Sie bitte auf das Icon, um es herunter zu laden.",Un package est maintenant disponible avec tous les fichiers qui sont nouveaux pour vous. Veuillez cliquer sur l’icône pour le télécharger.,È ora disponibile un pacchetto di tutti i file per Lei nuovi. Fare clic sull’icona per scaricarlo.,
There are currently no new documents for you to download from the selected folder.,Derzeit gibt es keine für Sie neuen Dateien im ausgewählten Ordner.,Il n’y a actuellement pas de nouveaux documents à télécharger à partir du dossier sélectionné.,Attualmente non ci sono nuovi documenti da scaricare dalla cartella selezionata.,
"<p>You must be logged in before you can access this content.</p><a class=""button button-primary"" href=""%1$s"">Log in</a>","<p>Sie müssen sich einloggen, um diesen Inhalt zu sehen.</p><a class=""button button-primary"" href=""%1$s"">Login</a>","<p>Vous devez être connecté pour accéder à ce contenu.</p><a class=""button button-primary"" href=""%1$s"">Se connecter</a>","<p>Deve effettuare il login prima di accedere a questo contenuto.</p><a class=""button button-primary"" href=""%1$s"">Accedi</a>",
"There is currently no package of all documents available for this property. Please <a href=""mailto:%1$s?subject=%2$s"">contact the website administrator</a> with your request.","Derzeit gibt es kein Paket aller Dokumente für dieses Objekt. Bitte <a href=""mailto:%1$s?subject=%2$s"">wenden Sie sich an den Administrator der Website</a> mit Ihrer Anfrage.","Il n’y a actuellement aucun paquet avec l’ensemble des documents disponibles pour cette propriété. Veuillez <a href=""mailto:%1$s?subject=%2$s"">contacter l’administrateur du site Web</a> pour lui soumettre votre demande.","Attualmente non è disponibile alcun pacchetto di tutti di documenti per questa proprietà. Contattare <a href=""mailto:%1$s?subject=%2$s"">l’amministratore del sito web</a> con la Sua richiesta.",
Package request - all files for “%1$s”,Anfrage: Download-Archiv aller Dokumente für «%1$s»,Demande de package - tous les fichiers pour «%1$s»,Richiesta pacchetto - tutti i file per “%1$s”,
No ZIP file of all files is available at %1$s.,Keine ZIp-Datei aller Dateien ist für %1$s verfügbar.,Aucun fichier ZIP avec tous les fichiers n’est disponible sur %1$s.,Non è disponibile alcun file ZIP di tutti i file a %1$s.,
There is currently no package available. Please try again.,Derzeit steht kein Datei-Paket zur Verfügung. Bitte versuchen Sie es nochmals.,Il n’y a actuellement aucun paquet disponible. Veuillez réessayer.,Attualmente non è disponibile alcun pacchetto. Riprovare.,
Data Room Teaser,Data-Room-Teaser,Teaser Data Room,Teaser Data Room,
Adds a teaser to the widgets area containing a view of any folders containing files which the user has not yet seen.,"Fügt einen Teaser in den Widgets-Bereich ein, welches eine Ansicht der ungelesenen Dateien im Data Room für den User zur Verfügung stellt.",Ajoute un teaser à la zone de widgets comprenant une vue de tous les dossiers contenant des fichiers que l’utilisateur n’a pas encore vus.,Aggiunge un teaser all’area dei widget contenente una visualizzazione di qualsiasi cartella contenente i file che l’utente non ha ancora visto.,
You are logged in as <em>%s</em>.,Sie sind als <em>%s</em> angemeldet.,Vous êtes connecté en tant que <em>%s</em>.,Ha effettuato il login come <em>%s</em>.,
Current password,Aktuelles Passwort,Mot de passe actuel,Password corrente,
New password,Neues Passwort,Nouveau mot de passe,Nuova password,
New password (again),Neues Passwort bestätigen,Nouveau mot de passe (à nouveau),Nuova password (ancora),
Save,Speichern,Enregistrer,Salva,
The plugin “%1$s” requires WordPress %2$s or higher!,Das Plugin “%1$s” benötigt WordPress ab Version %2$s!,Le plug-in «%1$s» requiert WordPress %2$s ou supérieur!,Il plug-in “%1$s” richiede WordPress %2$s o versioni superiori!,
Edit profile,Benutzerprofil bearbeiten,Modifier le profil,Modifica profilo,
Insert shortcode for a profile-editing form,Shortcode für ein Benutzerverwaltungsformular einfügen,Insérer un shortcode pour un formulaire d’édition de profil,Immettere codice breve per un modulo di modifica del profilo,
"Please activate JavaScript in your browser. If you experience any difficulties, please get in touch.",Bitte aktivieren Sie JavaScript in Ihrem Webbrowser. Falls Sie Probleme entdecken, bitte nehmen Sie Kontakt mit uns auf.,Attivare JavaScript nel browser. Mettersi in contatto in caso di difficoltà.,
Password successfully changed,Passwort erfolgreich geändert,Mot de passe modifié avec succès,Modifica della password riuscita,
The passwords you entered do not match. Your password was not updated.,Die Eingabe des bisherigen Passworts stimmt nicht mit Ihrem aktuellen Passwort überein.,Les mots de passe que vous avez saisis ne correspondent pas. Votre mot de passe n’a pas été mis à jour.,Le password immesse non corrispondono. La password non è stata aggiornata.,
The current password you entered is incorrect.,Die Eingabe des aktuellen Passworts war inkorrekt.,Le mot de passe actuel que vous avez saisi est incorrect.,La password attuale inserita non è corretta.,
You haven't specified a new password,Sie haben kein neues Passwort bestimmt.,Vous n’avez pas spécifié de nouveau mot de passe,Non ha specificato una nuova password,
You are not permitted to perform this action.,Sie dürfen diese Aktion nicht ausführen.,Vous n’êtes pas autorisé à effectuer cette action.,Non è autorizzato a eseguire questa azione.,
"Dear Sir, dear Madam",Sehr geehrte Damen und Herren,"Madame, Monsieur",Gent.li signore e signori,
"This site contains current sales documentation, grouped by sales region.","Diese Seite beinhaltet Verkaufsdokumente, nach Verkaufsregion gruppiert.","Ce site contient des documents commerciaux actuels, regroupés par région de vente.","Questo sito contiene la documentazione attuale sulle vendite, raggruppata in regioni di vendite.",
All,Alle,Tous,Tutte,
Tendering procedure,Bieterverfahren,Procédure d’appel d’offres,Procedura di appalto,
Public announcement,Öffentliche Ausschreibung,Annonce publique,Annuncio pubblico,
Draft,Entwurf,Ébauche,Bozza,
Online,Online,En ligne,Online,
Sold,Verkauft,Vendu,Venduto,
Central region,Region Mitte,Région centrale,Regione centrale,
Western region,Region West,Région occidentale,Regione occidentale,
Eastern region,Region Ost,Région orientale,Regione orientale,
Ticino,Tessin,Tessin,Ticino,
Welcome to the website of %1$s,Willkommen auf der Webseite von %1$s,Bienvenue sur le site Web de %1$s,Benvenuti al sito web di %1$s,
FAQ,Häufig gestellte Fragen,FAQ,FAQ,
No matches. (The term “%1$s” is automatically ignored.),Keine Treffer. (Der Suchbegriff «%1$s» wird automatisch ausgeschlossen.),Pas de résultats. (Le terme «%1$s» est automatiquement ignoré.),Nessuna corrispondenza. (Il termine “%1$s” viene ignorato automaticamente.),
The necessary plugin “%1$s” is not active on the current site,Ein benötigtes Plugin «%1$s» ist auf der aktuellen Webseite nicht aktiviert.,Le plug-in nécessaire «%1$s» n’est pas actif sur le site actuel,Il plug-in necessario “%1$s” non è attivo sul sito attuale.,
"Sorry, but an essential plugin is not installed on this website. The technical administrator has been notified of the problem.",Ein benötigtes Plugin ist nicht installiert. Der technische Administrator wurde benachrichtigt.,"Désolé, mais un plug-in essentiel n’est pas installé sur ce site Web. L’administrateur technique a été informé du problème.","Siamo spiacenti, ma un plug-in essenziale non è installato su questo sito web. Il problema è stato notificato all’amministratore tecnico.",
No matches.,Keine Treffer.,Pas de résultats.,Nessuna corrispondenza.,
"Sorry, you must be logged in to access this feature.","Sie müssen angemeldet sein, um auf diese Funktion zugreifen zu können.","Désolé, vous devez être connecté pour accéder à cette fonctionnalité.",Siamo spiacenti. Deve effettuare il login per accedere a questa funzionalità.,
No matches. (The term “%1$s” is automatically ignored.),Keine Treffer. (Der Suchbegriff «%1$s» wird automatisch ausgeschlossen.),Pas de résultats. (Le terme «%1$s» est automatiquement ignoré.),Nessuna corrispondenza. (Il termine “%1$s” viene ignorato automaticamente.),
The necessary plugin “%1$s” is not active on the current site,Ein benötigtes Plugin «%1$s» ist auf der aktuellen Webseite nicht aktiviert.,Le plug-in nécessaire «%1$s» n’est pas actif sur le site actuel,Il plug-in necessario “%1$s” non è attivo sul sito attuale,
"Sorry, but an essential plugin is not installed on this website. The technical administrator has been notified of the problem.",Ein benötigtes Plugin ist nicht installiert. Der technische Administrator wurde benachrichtigt.,"Désolé, mais un plug-in essentiel n’est pas installé sur ce site Web. L’administrateur technique a été informé du problème.","Siamo spiacenti, ma un plug-in essenziale non è installato su questo sito web. Il problema è stato notificato all’amministratore tecnico.",
No matches.,Keine Treffer.,Pas de résultats.,Nessuna corrispondenza.,
"Sorry, you must be logged in to access this feature.","Sie müssen angemeldet sein, um auf diese Funktion zugreifen zu können.","Désolé, vous devez être connecté pour accéder à cette fonctionnalité.",Siamo spiacenti. Deve effettuare il login per accedere a questa funzionalità.,
"Adds a dynamic inline search panel to the page, which is initialized when clicking on an apporpriate icon in the toolbar.","Fügt einen Suchpanel zur Seite hinzu, mit einem Aktivierungsicon. Klickt man auf das Icon, wird der Panel aktiviert.",Ajoute un panneau de recherche en ligne dynamique sur la page suite à un clic sur l’icône correspondante dans la barre d’outils.,Aggiunge un pannello di ricerca incorporato dinamico alla pagina che viene inizializzato quando si clicca su un’icona appropriata nella barra degli strumenti.,
Sales documentation,Verkaufsdokumentation,Documentation commerciale,Documentazione sulle vendite,
Please select the file system folder which contains the sales documentation for this project.,"Bitte wählen Sie den Verzeichnis aus, der die Verkaufsdokumentation des Projekts beinhaltet.",Veuillez sélectionner le dossier du système de fichiers qui contient les documents commerciaux de ce projet.,Selezionare la cartella del file system che contiene la documentazione sulle vendite per questo progetto.,
Select,Auswählen,Sélectionner,Seleziona,
The requested file is not (or no longer) available on this server.,Die gewünschte Datei ist nicht (oder nicht mehr) auf diesen Server verfügbar.,Le fichier demandé n’est pas (ou n’est plus) disponible sur ce serveur.,"Il file richiesti non sono, o non sono più, disponibili su questo sito.",
"%1$s: Please choose which kind of list to view: mode=""login"" or mode=""download"".","%1$s: bitte wählen Sie der Art der Liste aus: mode=""login"" oder mode=""download"".",%1$s: Veuillez choisir le type de liste à afficher: mode=«login» ou mode=«download».,%1$s: Scegliere che tipo di elenco visualizzare: modalità=«login» o modalità =«download».,
The requested file or page is not - or no longer - available on this website. %1$s,Die gewünschte Datei oder Seite ist nicht - oder nicht mehr - auf diesen Server verfügbar. %1$s,Le fichier ou la page demandé(e) n’est pas (ou n’est plus) disponible sur ce site Web. %1$s,"Il file o la pagina richiesti non sono, o non sono più, disponibili su questo sito. %1$s",
Return to the home page,Zur Startseite,Revenir à la page d’accueil,Ritornare alla pagina iniziale,
Close menu,Navigation schliessen,Fermer le menu,Chiudere menu,
Admin area,Adminbereich,Espace d’administration,Area amministrazione,
Logout,Abmelden,Se déconnecter,Uscire,
Please enter a search termâ€_,Bitte geben Sie ein Suchwort ein…,Veuillez entrer un terme de rechercheâ€_,Inserire una chiave di ricercaâ€_,
Search,Suchen,Recherche,Ricerca,
Page content,Seiteninhalt,Contenu de la page,Contenuto pagina,
Number of new questions,Anzahl neue Fragen,Nombre de nouvelles questions,Numero di nuove domande,
Number of new files,Anzahl neue Dateien,Nombre de nouveaux fichiers,Numero di nuovi file,
All,Alle,Tous,Tutti,
Sidebar,Seitenbalken,Barre latérale,Barra laterale,
Widgets in this area will be shown in the Sidebar.,Widgets aus diesem Bereich werden in der Seitenspalte angezeigt.,Les widgets dans ce domaine seront affichés dans la barre latérale.,I widget in questa area verranno visualizzati nella barra laterale.,
Username,Benutzername,,,
Menu,Menü,Menu,Menu,
Page %s,Seite %s,Page %s,Pagina %s,
More images,Weitere Bilder,Plus d’images,Più immagini,
"Sorry, you must be logged in to access this feature.","Sie müssen eingeloggt sein, um diese Funktion zu nutzen.","Désolé, vous devez être connecté pour accéder à cette fonctionnalité.",Siamo spiacenti. Deve effettuare il log in per accedere a questa funzionalità.,
Theme Options,Themen-Einstellungen,Options de thème,Opzioni temi,
Theme options,Themen-Einstellungen,Options de thème,Opzioni temi,
Options saved,Optionen gespeichert,Options enregistrées,Opzioni salvate,
Activate necessary plugins,Nötige Plugins aktivieren,Activer les plug-ins requis,Attivare plug-in necessari,
"You can check and activate necessary plugins for this theme <a href=""%1$s"">here</a>.","Sie können nötige Plugins für dieses Theme <a href=""%1$s"">hier</a> prüfen und aktivieren.","Vous pouvez vérifier et activer <a href=""%1$s"">ici</a> les plug-ins nécessaires pour ce thème.","È possibile controllare e attivare i plug-in necessari per questo tema <a href=""%1$s"">qui</a>.",
Home page,Homeseite,Page d’accueil,Pagina iniziale,
Select,Auswählen,Sélectionner,Selezionare,
Region,Region,Région,Regione,
Select,Auswählen…,Sélectionnerâ€_,Selezionaâ€_,
Central region,Region Mitte,Région centrale,Regione centrale,
Western region,Region West,Région occidentale,Regione occidentale,
Eastern region,Region Ost,Région orientale,Regione orientale,
Ticino,Region Tessin,Tessin,Ticino,
Project type,Objektart,Type de projet,Tipo di progetto,
NBO,NBO,NBO,NBO,
DD,DD,DD,DD,
Procedure,Verfahren,Procédure,Procedura,
Tendering procedure,Bieterverfahren,Procédure d’appel d’offres,Procedura di appalto,
Public announcement,Öffentliche Ausschreibung,Annonce publique,Annuncio pubblico,
Status,Status,Statut,Stato,
Draft,Entwurf,Ébauche,Bozza,
Online,Online,En ligne,Online,
Sold,Verkauft,Vendu,Venduto,
Show “reset password” link?,Link «Passwort zurücksetzen» anzeigen?,Afficher le lien â€œréinitialiser mot de passeâ€ù?,Mostrare â€œpassword ripristinataâ€ù link?,
Save Options,Speichern,Enregistrer,Salvare opzioni,
Check plugin dependencies,Abhängigkeiten prüfen,Vérifier les dépendances de plug-in,Verificare dipendenze di plug-in,
The following plugins are essential for the current theme. You can activate them here if they are not active already.,Themen-Einstellungen,Les plug-ins suivants sont essentiels pour le thème actuel. Vous pouvez les activer ici s’ils ne sont pas déjà actifs.,I plug-in seguenti sono essenziali per il tema attuale. È possibile attivarli se non sono già attivi.,
This plugin is missing from the server.,Einstellungen,Ce plug-in n’est pas présent sur le serveur.,Questo plug-in non è presente sul server.,
Activate,Theme-Einstellungen,Activer,Attivare,
Plugin is active.,Einstellungen gespeichert,Le plug-in est actif.,Il plug-in è attivo.,
Plugin activated.,Plugin aktiviert.,Plug-in activé.,Plug-in attivato.,
Content sections,Inhaltselemente,Sections de contenu,Sezioni di contenuto,
Add content section,Inhaltselement hinzufügen,Ajouter la section de contenu,Aggiungi sezione di contenuto,
Panel,SBB-Panel,Panneau,Panello,
Content with sidebar,Inhalt mit Seitenspalte,Contenu avec barre latérale,Contenuto con barra laterale,
Content with widgets,Inhalt mit Widget-Spalte,Contenu avec des widgets,Contenuto con widget,
Full-width content,Inhalt - gesamte Breite,Contenu largeur complète,Contenuto a larghezza intera,
Main content,Hauptspalte,Contenu principal,Contento principale,
Anchor image to…,Ausrichtung Bild,Image d’ancrage vers…,Ancorare immagine a…,
Centre,Zentriert,Centre,Centro,
Top left,Oben links,En haut à gauche,In alto a sinistra,
Top centre,Oben zentriert,En haut au centre,In alto al centro,
Top right,Oben rechts,En haut à droite,In alto a destra,
Centre left,Zentriert links,Centre gauche,Al centro a sinistra,
Centre right,Zentriert rechts,Centre droite,Al centro a destra,
Bottom left,Unten links,En bas à gauche,In basso a sinistra,
Bottom centre,Unten zentriert,En bas au centre,In basso al centro,
Bottom right,Unten rechts,En bas à droite,In basso a destra,
Username,Diese Seite bearbeiten,Nom d’utilisateur,Nome utente,
Password,Zurück zur Homeseite,Mot de passe,Password,
Login,Login,Ouverture d’une session,Login,
Lost your password?,Passwort vergessen?,Mot de passe perdu?,Password dimenticata?,
Edit this page,Seite bearbeiten,Modifier cette page,Modificare questa pagina,
Back to the home page,Zur Startseite,Retour à la page d’accueil,Ritornare alla pagina iniziale,
Theme options: home page is undefined. %1$s,Theme-Einstellungen: Home-Seite ist nict definiert. %1$s,Options de thème: la page d’accueil n’est pas définie. %1$s,Opzioni temi: pagina iniziale non definita. %1$s,
Fix this,Reparieren,Réparer,Correggere questo,
Theme options: home page is undefined,Theme-Einstellungen - Homeseite ist nicht definiert,Options de thème: la page d’accueil n’est pas définie,Opzioni temi: pagina iniziale non definita,
Related folder,Verwandtes Verzeichnis,,,
"The folder on the file system to which the current page relates. This setting is used as a reference for various content elements on the page, which are set via shortcode.","Das Verzeichnis auf dem Filesystem, mit dem diese Seite verbunden ist. Diese Einstellung wird als Referenz für Inhaltselemente benutzt, die via Shortcode auf der Seite platziert werden.",,,
There are files in this folder which you have not yet downloaded.,"Es gibt Dateien in diesem Verzeichnis, die Sie sich noch nicht heruntergeladen bzw. angesehen haben.",,,
Sales documentation,Verkaufsunterlagen,,,
Please select the file system folder which contains the sales documentation for this project.,"Bitte wählen Sie das Verezichnis aus, welches die Verkaufsunterlagen für dieses Projekt beinhaltet.",,,
Server error at “%1$s”,Server-Fehler bei «%1$s»,,,
A server error has occurred. Please contact the website administrator if this problem recurs.,"Ein Serverfehler ist aufgetreten. Bitte kontaktieren Sie den Administrator der Website, wenn dieses Problem weiterhin auftritt.",,,
"File package preparation in progress. This may take up to a couple of minutes. You can return to this page to check the status of your request, or wait here until the download is ready.","Ein Paket der gewünschten Dateien wird vorbereitet. Dieser Vorgang kann bis zu ein paar Minuten dauern. Sie können später vorbeischauen oder kurz warten, bis das Paket bereit ist.",,,
Root file system folder does not exist!,Das Rootverzeichnis existiert nicht!,,,
JSON successfully rebuilt on %1$s at %2$s.,JSON-Datei am %1$s um %2$s erfolgreich erstellt.,,,
"There are no files available in the project ""%s"".",Keine Dateien für das Projekt «%s» verfügbar.,,,
"Error during generation of the JSON file for the project ""%s"".",Ein Fehler ist während der Erstellung der JSON-Datei für das Projekt «%s» aufgetreten.,,,
The indicated storage folder for this site (%1$s) does not exist.,Das gewünschte Verzeichnis für diese Webseite (%1$s) existiert nicht.,,,
There is no current reference file (%1$s) for this project.,Es gibt keine aktuelle Statusdatei (%1$s) für dieses Projekt.,,,
The reference file was last updated on %1$s at %2$s.,Die Statusdatei wurde zum letzten Mal am %1$s um %2$s aktualisiert.,,,
The modification date of the file %1$s could not be ascertained.,Das Anpassungsdatum der Statusdatei %1$s konnte nicht festgestellt werden.,,,
Options and functions to manage sales documentation for the current project.,Optionen und Funktionen für die Verwaltung der Verkaufsunterlagen für dieses Projekt.,,,
File statuses - Due Diligence,Dateien-Status für Due Diligence,,,
Click on this button to update the reference file containing details of the last modification date of each file within the “DD” file system folder.,Klicken Sie auf diesem Knopf um die Statusdatei zu aktualisieren. Diese Datei enthält die Anpassungsdaten der jeweiligen Dateien im Unterverzeichnis «DD».,,,
The folder for this project has not been defined. Please select a “Sales documentation” folder from the available options (%1$s).,Das Verzeichnis für dieses Projekt wurde noch nicht definiert. Bitte wählen Sie ein verfügbares Verzeichnis aus (%1$s).,,,
"There are currently no new documents for you to download from the selected folder. <a href=""%1$s"" title=""Page “%2$s”"">View current document list</a>.","Es gibt aktuell keine neuen Dokumente für Sie im gewählten Ordner. <a href=""%1$s"" title=""Seite «%2$s»"">Aktuelle Liste ansehen</a>.",,,
"There are currently no new documents for you to download. <a href=""%1$s"" title=""Page “%2$s”"">View current document list</a>.","Es gibt aktuell keine neuen Dokumente für Sie. <a href=""%1$s"" title=""Seite «%2$s»"">Aktuelle Liste ansehen</a>.",,,
The folder on the file system to which the current page relates.,"Das Verzeichnis auf dem Filesystem, mit dem diese Seite verbunden ist.",,,
"A package of all files which are new to you is now available. Please <a href=""%1$s"" data-linkaction=""%2$s:markAllFilesAsRead"" download>click here</a> to download it.","Ein Paket der für Sie neuen Dateien ist nun verfügbar. <a href=""%1$s"" data-linkaction=""%2$s:markAllFilesAsRead"" download>Klicken Sie bitte hier</a>, um es herunter zu laden.",,,
"<time class=""status-time"">%1$s</time>: File package preparation in progress. This may take up to a couple of minutes. You can return to this page to check the status of your request, or wait here until the download is ready.","<time class=""status-time"">%1$s</time>: Ein Paket der gewünschten Dateien wird vorbereitet. Dieser Vorgang kann bis zu ein paar Minuten Dauern. Sie können später vorbeischauen oder kurz warten, bis das Paket bereit ist.",,,
"A package of all files which are new to you is now available. Please <a href=""%1$s"" data-linkaction=""","Ein Paket der für Sie neuen Dateien ist nun verfügbar. <a href=""%1$s"">Klicken Sie bitte hier</a>, um es herunter zu laden.",,,
